UNTERNEHMEN;STRASSE;PLZ;ORT;GUETERVERKEHR;PERSONENVERKEHR
Abellio Rail Baden-Württemberg GmbH;Presselstraße 10;70191;Stuttgart;Nein;Ja
Abellio Rail Mitteldeutschland GmbH;Magdeburger Str. 51;06112;Halle (Saale);Nein;Ja
Ablachtalbahn GmbH;Bleicherstr. 14;78467;Konstanz;Nein;Nein
A.D.E. Eisenbahnverkehrsunternehmen GmbH;Stolpener Str. 15;01877;Bischofswerda;Ja;Ja
AERS Rail Services Deutschland GmbH;Obereckstraße 9;79539;Lörrach;Ja;Nein
agilis Eisenbahngesellschaft mbH & Co. KG;Galgenbergstraße 2a;93053;Regensburg;Ja;Ja
agilis Verkehrsgesellschaft mbH & Co. KG;Galgenbergstraße 2a;93053;Regensburg;Ja;Ja
AHG Industry GmbH & Co. KG;Marktstraße 14;03046;Cottbus;Ja;Ja
AIXrail GmbH;Malmedyerstraße 39-41;52066;Aachen;Ja;Ja
AKN Eisenbahn GmbH;Rudolf-Diesel-Straße 2;24568;Kaltenkirchen;Ja;Ja
Albert Fischer GmbH;Heilswannenweg 53;31008;Elze;Ja;Nein
Albtal-Verkehrs-Gesellschaft mbH;Tullastraße 71;76131;Karlsruhe;Ja;Ja
AmE Raillogistik GmbH;Bernard-Remy-Str. 6;19322;Wittenberge;Ja;Ja
Angelner Dampfeisenbahn gGmbH;Schwennaustraße 1;24960;Glücksburg;Ja;Ja
Angelner Eisenbahn Gesellschaft UG;Schwennaustraße 1;24960;Glücksburg;Nein;Nein
Anhaltinisch Brandenburgische Eisenbahn Gesellschaft mbH (ABEG);Zellmannstraße 10;21129;Hamburg;Ja;Ja
Ankum - Bersenbrücker Eisenbahn GmbH;Bersenbrücker Str. 6;49577;Ankum;Ja;Ja
Anschlussbahn-Servicegesellschaft Pressnitztalbahn mbH;Sigmund-Bergmann-Straße 15;03222;Lübbenau OT Groß Klessow;Ja;Ja
ArcelorMittal Eisenhüttenstadt Transport GmbH;Straße 50 Nr. 1;15890;Eisenhüttenstadt;Ja;Nein
ART Altmann Rail Traction GmbH;Feierabendmühle 2;85283;Wolnzach;Ja;Ja
askeo rail GmbH;Gärtnergasse 28;55116;Mainz;Ja;Ja
ATL Ammendorfer Transport und Logistik GmbH;Camillo-Irmscher-Straße 2;06132;Halle (Saale);Ja;Nein
Augsburger Localbahn GmbH;Friedberger Straße 43;86161;Augsburg;Ja;Ja
A.V.G. Ascherslebener Verkehrsgesellschaft mbH;Ascherslebener Straße 12;39435;Egeln;Ja;Ja
Badische Stahlwerke GmbH;Graudenzer Straße 45;77694;Kehl;Ja;Nein
Bahnbetriebe Blumberg GmbH & Co.KG;Bahnhofstraße 1;78176;Blumberg;Ja;Ja
Bahnbetriebsgesellschaft Mainschleifenbahn mbH;Industriestr. 3;97332;Volkach;Nein;Nein
Bahnen der Stadt Monheim GmbH;Daimlerstraße 10;40789;Monheim am Rhein;Nein;Nein
Bahnhof Mooskamp gGmbH;Mooskamp 23;44359;Dortmund;Nein;Nein
BahnLog Bahnlogistik und Service GmbH;Am Gleisbahnhof 1;66459;Kirkel;Ja;Ja
Bahnlogistik24 GmbH;Großenhainer Straße 83;01127;Dresden;Ja;Ja
Bahnwelt Betriebs GmbH;Steinstr. 7;64291;Darmstadt;Ja;Ja
BASF Schwarzheide GmbH;Schipkauer Straße 1;01986;Schwarzheide;Ja;Nein
BASF SE Service Center Railway;Carl-Bosch-Str. 38;67063;Ludwigshafen;Ja;Nein
Bayerische Oberlandbahn GmbH (BOB);Bahnhofsplatz 1;83607;Holzkirchen;Ja;Ja
Bayerische Regiobahn GmbH;Bahnhofplatz 9;83607;Holzkirchen;Ja;Ja
Bayerische Regionaleisenbahn GmbH;Wilmersdorfer Straße 113-114;10627;Berlin;Nein;Nein
Bayerische Zugspitzbahn Bergbahn AG;Olympiastraße 27;82467;Garmisch-Partenkirchen;Ja;Ja
BayernBahn GmbH;Adamstr. 12;86720;Nördlingen;Ja;Ja
Bayernhafen GmbH & Co. KG;Linzer Straße 6;93055;Regensburg;Ja;Ja
BBL Consulting GmbH;Entenfangweg 7 - 9;30419;Hannover;Ja;Ja
BBL Logistik GmbH;Entenfangweg 7 - 8;30419;Hannover;Ja;Nein
BDG Bahnservice- und Dienstleistungsgesellschaft mbH & Co. KG;Neuer Weg 1;06406;Bernburg;Ja;Nein
BDK Bahndienste Korkmaz;Alte Bottroper Straße 44;45356;Essen;Ja;Nein
BE Netz GmbH;Otto-Hahn-Straße 1;48529;Nordhorn;Nein;Nein
BEHALA Berliner Hafen- und Lagerhausgesellschaft mbH;Westhafenstraße 1;13353;Berlin;Ja;Ja
BeNex GmbH;Burchardstraße 21;20095;Hamburg;Ja;Ja
Bentheimer Eisenbahn AG;Otto-Hahn-Straße 1;48529;Nordhorn;Ja;Ja
Bergbahnen im Siebengebirge AG;Drachenfelsstraße 53;53639;Königswinter;Nein;Ja
Betriebsgesellschaft Mainschleifenbahn mbH;Industriestraße 3;97332;Volkach;Ja;Ja
BLG RailTec GmbH;Mainzer Straße 1;04938;Uebigau-Wahrenbrück;Ja;Nein
BLP Wiebe Logistik GmbH;Im Finigen 8;28832;Achim;Ja;Nein
BLS Cargo AG;Bollwerk 27;CH-3001;Bern;Ja;Nein
BM Bahndienste GmbH;Maybachstraße 10;76227;Karlsruhe;Ja;Nein
Bocholter Eisenbahngesellschaft mbH;Steigerstraße 13;46537;Dinslaken;Ja;Nein
Bodensee-Oberschwaben-Bahn GmbH;Kornblumenstraße 7/1;88046;Friedrichshafen;Nein;Ja
Bolay & Moser EVU GmbH;Karl-Huber-Straße 44;74613;Öhringen;Ja;Nein
Borkumer Kleinbahn- und Dampfschiffahrt GmbH;Georg-Schütte-Platz 8;26757;Borkum;Ja;Ja
boxXpress.de GmbH;Channel 3, Harburger Schloßstraße 26;21079;Hamburg;Ja;Nein
Braaker Mühle Handel- und Dienstleistungsgesellschaft mbH (BMHD);Braaker Mühle 1;22145;Braak;Nein;Nein
Bremen-Thedinghauser Eisenbahn GmbH;Leester Str. 88;28844;Weyhe - Leeste;Ja;Ja
Bremer Straßenbahn AG;Flughafendamm 12;28199;Bremen;Nein;Ja
Brohltal Eisenbahn GmbH;Kapellenstraße 12;56651;Niederzissen;Nein;Nein
Brohltal Schmalspureisenbahn Betriebs GmbH;Brohltalstraße;56654;Brohl-Lützing;Ja;Ja
BSAS Eisenbahn Verkehrs GmbH & Co. KG;Niedermülsener Hauptstr. 75;08132;Mülsen;Ja;Ja
BSB - Saugbagger und Zweiwegetechnik Stefan Mattes GmbH & Co. KG";Zu Alten Börse 49;12681;Berlin;Ja;Nein
BTE BahnTouristikExpress GmbH;Fürther Straße 27;90429;Nürnberg;Ja;Ja
BUG Vermietungsgesellschaft mbH;Handwerkerstraße 2;15366;Hoppegarten;Ja;Nein
C + L Consult & Logistik GmbH;Nordhäuser Straße 70;99752;Bleicherode;Ja;Nein
cantus Verkehrsgesellschaft mbH;Königstor 1A;34117;Kassel;Nein;Ja
Captrain Deutschland CargoWest GmbH;Am Grubenhof 2;33330;Gütersloh;Ja;Ja
Cargo Logistik Rail-Service GmbH;Mühlenweg 31b;39179;Barleben OT Ebendorf;Ja;Ja
Cargo Service GmbH;Lunzer Straße 41;A-4031;Linz;Ja;Ja
Cargo-Rail Gesellschaft mit beschränkter Haftung;Werkstraße 1;66763;Dillingen /Saar;Ja;Nein
CD Cargo a.s.;Jankovcova 1569/2c;CZ-170 00;Prag 7;Ja;Ja
Centralbahn GmbH;Kranzstraße 18;41065;Mönchengladbach;Ja;Ja
Certis Europe B.V. Niederlassung Deutschland;Frankenstraße 18b;D-20097;Hamburg;Ja;Ja
CFL Cargo Deutschland GmbH;Lise-Meitner-Straße 15;24941;Flensburg;Ja;Nein
CFL Societe Nationale des Chemins de Fer Luxembourgeois;9 Place de la Gare;L-1616;Luxembourg;Nein;Ja
Chemion Logistik GmbH;Bayer Chemiepark X 6;51368;Leverkusen;Ja;Nein
Chiemsee-Schifffahrt Ludwig Feßler KG;Seestraße 108;83209;Prien;Ja;Ja
City-Bahn Chemnitz GmbH;Bahnhofstraße 1;09111;Chemnitz;Nein;Ja
